benchmark,proxy,wl,density,congestion,wl_contrib,den_contrib,cong_contrib,replace_proxy,gap_pct,init_proxy,init_wl,init_den,init_cong,nav_delta
ibm01,1.186538,0.073112,0.925940,1.300913,0.073112,0.462970,0.650456,0.9976,18.94,1.195295,0.073073,0.942552,1.301892,0.008757
ibm02,1.619978,0.077024,0.791142,2.294766,0.077024,0.395571,1.147383,1.8370,-11.81,1.688776,0.077072,0.843212,2.380196,0.068798
ibm03,1.406986,0.080840,0.827362,1.824930,0.080840,0.413681,0.912465,1.3222,6.41,1.406986,0.080840,0.827362,1.824930,0.000000
ibm04,1.368981,0.072679,0.842691,1.749914,0.072679,0.421345,0.874957,1.3024,5.11,1.382555,0.072849,0.854350,1.765063,0.013574
ibm06,1.714960,0.063761,0.803903,2.498495,0.063761,0.401951,1.249248,1.6187,5.95,1.714960,0.063761,0.803903,2.498495,0.000000
ibm07,1.485513,0.065675,0.835588,2.004088,0.065675,0.417794,1.002044,1.4633,1.52,1.489816,0.065644,0.844134,2.004211,0.004303
ibm08,1.507994,0.070847,0.864632,2.009661,0.070847,0.432316,1.004831,1.4285,5.56,1.511279,0.070197,0.871162,2.011003,0.003285
ibm09,1.124653,0.057912,0.855537,1.277944,0.057912,0.427769,0.638972,1.1194,0.47,1.133671,0.057860,0.868065,1.283555,0.009018
ibm10,1.411165,0.068706,0.761448,1.923470,0.068706,0.380724,0.961735,1.5009,-5.98,1.411165,0.068706,0.761448,1.923470,0.000000
ibm11,1.225689,0.054510,0.884389,1.457970,0.054510,0.442194,0.728985,1.1774,4.10,1.235117,0.054397,0.903336,1.458104,0.009427
ibm12,1.647777,0.060107,0.802560,2.372780,0.060107,0.401280,1.186390,1.7261,-4.54,1.649730,0.060013,0.806653,2.372780,0.001953
ibm13,1.397166,0.054232,0.906789,1.779079,0.054232,0.453395,0.889539,1.3355,4.62,1.398611,0.054188,0.911680,1.777166,0.001446
ibm14,1.598305,0.052389,0.974273,2.117560,0.052389,0.487136,1.058780,1.5436,3.54,1.600327,0.052334,0.978407,2.117578,0.002021
ibm15,1.612446,0.059028,0.934108,2.172728,0.059028,0.467054,1.086364,1.5159,6.37,1.607272,0.058646,0.938842,2.158410,-0.005174
ibm16,1.542363,0.049702,0.880189,2.105133,0.049702,0.440094,1.052566,1.4780,4.35,1.542363,0.049702,0.880189,2.105133,0.000000
ibm17,1.743968,0.054139,0.949649,2.430008,0.054139,0.474824,1.215004,1.6446,6.04,1.743084,0.054117,0.951764,2.426172,-0.000883
ibm18,1.792078,0.053401,1.039472,2.437881,0.053401,0.519736,1.218941,1.7722,1.12,1.792736,0.053404,1.040782,2.437881,0.000658
