benchmark,iteration,elapsed,proxy,wl,density,congestion
ibm01,-1,0.000,1.195295,0.073073,0.942552,1.301892
ibm01,999,40.813,1.186538,0.073112,0.925940,1.300913
ibm01,0,5.348,0.745724,0.000000,0.000000,0.000000
ibm01,1,10.674,0.744514,0.000000,0.000000,0.000000
ibm01,2,15.900,0.743490,0.000000,0.000000,0.000000
ibm01,3,21.496,0.742282,0.000000,0.000000,0.000000
ibm01,4,26.949,0.741333,0.000000,0.000000,0.000000
ibm01,5,32.466,0.740431,0.000000,0.000000,0.000000
ibm01,6,38.004,0.739379,0.000000,0.000000,0.000000
ibm01,7,40.813,0.738726,0.000000,0.000000,0.000000
ibm02,-1,0.000,1.688776,0.077072,0.843212,2.380196
ibm02,999,42.531,1.619978,0.077024,0.791142,2.294766
ibm02,0,8.615,1.139814,0.000000,0.000000,0.000000
ibm02,1,17.390,1.134281,0.000000,0.000000,0.000000
ibm02,2,26.943,1.132004,0.000000,0.000000,0.000000
ibm02,3,36.358,1.130138,0.000000,0.000000,0.000000
ibm02,4,42.531,1.128426,0.000000,0.000000,0.000000
ibm03,-1,0.000,1.406986,0.080840,0.827362,1.824930
ibm03,999,41.282,1.406986,0.080840,0.827362,1.824930
ibm04,-1,0.000,1.382555,0.072849,0.854350,1.765063
ibm04,999,41.579,1.368981,0.072679,0.842691,1.749914
ibm04,0,7.958,0.793004,0.000000,0.000000,0.000000
ibm04,1,17.115,0.790672,0.000000,0.000000,0.000000
ibm06,-1,0.000,1.714960,0.063761,0.803903,2.498495
ibm06,999,40.692,1.714960,0.063761,0.803903,2.498495
ibm07,-1,0.000,1.489816,0.065644,0.844134,2.004211
ibm07,999,41.290,1.485513,0.065675,0.835588,2.004088
ibm07,0,6.572,0.968862,0.000000,0.000000,0.000000
ibm07,1,13.191,0.967753,0.000000,0.000000,0.000000
ibm07,2,19.892,0.967025,0.000000,0.000000,0.000000
ibm07,4,33.016,0.966317,0.000000,0.000000,0.000000
ibm07,5,39.565,0.965615,0.000000,0.000000,0.000000
ibm07,6,41.290,0.965613,0.000000,0.000000,0.000000
ibm08,-1,0.000,1.511279,0.070197,0.871162,2.011003
ibm08,999,41.114,1.507994,0.070847,0.864632,2.009661
ibm08,0,10.145,0.901213,0.000000,0.000000,0.000000
ibm08,1,20.149,0.899383,0.000000,0.000000,0.000000
ibm08,2,30.235,0.897739,0.000000,0.000000,0.000000
ibm08,3,41.114,0.896117,0.000000,0.000000,0.000000
ibm09,-1,0.000,1.133671,0.057860,0.868065,1.283555
ibm09,999,40.918,1.124653,0.057912,0.855537,1.277944
ibm09,0,6.304,0.824757,0.000000,0.000000,0.000000
ibm09,1,12.469,0.823144,0.000000,0.000000,0.000000
ibm09,4,31.546,0.822042,0.000000,0.000000,0.000000
ibm09,5,38.168,0.820873,0.000000,0.000000,0.000000
ibm09,6,40.918,0.819997,0.000000,0.000000,0.000000
ibm10,-1,0.000,1.411165,0.068706,0.761448,1.923470
ibm10,999,0.167,1.411165,0.068706,0.761448,1.923470
ibm11,-1,0.000,1.235117,0.054397,0.903336,1.458104
ibm11,999,41.197,1.225689,0.054510,0.884389,1.457970
ibm11,0,8.321,0.844441,0.000000,0.000000,0.000000
ibm11,1,16.487,0.842565,0.000000,0.000000,0.000000
ibm11,2,24.799,0.841584,0.000000,0.000000,0.000000
ibm11,3,33.258,0.840781,0.000000,0.000000,0.000000
ibm11,4,41.197,0.839978,0.000000,0.000000,0.000000
ibm12,-1,0.000,1.649730,0.060013,0.806653,2.372780
ibm12,999,41.348,1.647777,0.060107,0.802560,2.372780
ibm12,0,20.749,1.009697,0.000000,0.000000,0.000000
ibm12,1,41.348,1.008953,0.000000,0.000000,0.000000
ibm13,-1,0.000,1.398611,0.054188,0.911680,1.777166
ibm13,999,41.496,1.397166,0.054232,0.906789,1.779079
ibm13,0,9.658,0.828719,0.000000,0.000000,0.000000
ibm13,1,19.225,0.828253,0.000000,0.000000,0.000000
ibm13,2,28.996,0.827680,0.000000,0.000000,0.000000
ibm13,3,38.956,0.827200,0.000000,0.000000,0.000000
ibm13,4,41.496,0.826988,0.000000,0.000000,0.000000
ibm14,-1,0.000,1.600327,0.052334,0.978407,2.117578
ibm14,999,41.935,1.598305,0.052389,0.974273,2.117560
ibm14,0,11.373,1.001823,0.000000,0.000000,0.000000
ibm14,1,22.562,0.999745,0.000000,0.000000,0.000000
ibm14,2,33.729,0.998212,0.000000,0.000000,0.000000
ibm14,3,41.935,0.997412,0.000000,0.000000,0.000000
ibm15,-1,0.000,1.607272,0.058646,0.938842,2.158410
ibm15,999,41.733,1.612446,0.059028,0.934108,2.172728
ibm15,0,9.652,0.906121,0.000000,0.000000,0.000000
ibm15,1,18.691,0.905542,0.000000,0.000000,0.000000
ibm15,2,27.768,0.905159,0.000000,0.000000,0.000000
ibm15,3,37.467,0.904901,0.000000,0.000000,0.000000
ibm15,4,41.733,0.904259,0.000000,0.000000,0.000000
ibm16,-1,0.000,1.542363,0.049702,0.880189,2.105133
ibm16,999,42.906,1.542363,0.049702,0.880189,2.105133
ibm17,-1,0.000,1.743084,0.054117,0.951764,2.426172
ibm17,999,44.808,1.743968,0.054139,0.949649,2.430008
ibm17,0,19.178,1.062315,0.000000,0.000000,0.000000
ibm17,1,37.399,1.061466,0.000000,0.000000,0.000000
ibm17,2,44.808,1.061270,0.000000,0.000000,0.000000
ibm18,-1,0.000,1.792736,0.053404,1.040782,2.437881
ibm18,999,40.804,1.792078,0.053401,1.039472,2.437881
ibm18,7,40.804,1.138715,0.000000,0.000000,0.000000
