benchmark,load,sdf_init,assignment,lp_build,lp_solve,surrogate_build,navigation,total
ibm01,0.355,3.487,0.013,0.004,1.754,0.009,40.813,46.434
ibm02,0.559,3.298,0.015,0.007,3.865,0.015,42.531,50.290
ibm03,0.500,2.881,0.017,0.006,3.443,0.012,41.282,48.140
ibm04,0.547,2.925,0.018,0.006,2.077,0.013,41.579,47.165
ibm06,0.550,1.826,0.007,0.007,3.114,0.016,40.692,46.211
ibm07,0.709,2.557,0.017,0.009,3.751,0.020,41.290,48.353
ibm08,0.821,3.629,0.018,0.010,6.005,0.023,41.114,51.620
ibm09,0.658,2.599,0.014,0.008,3.340,0.018,40.918,47.555
ibm10,1.565,13.851,0.132,0.017,60.388,0.043,0.167,76.163
ibm11,0.809,3.137,0.029,0.010,5.821,0.022,41.197,51.024
ibm12,1.546,5.666,0.089,0.018,58.721,0.042,41.348,107.429
ibm13,0.966,3.664,0.036,0.012,9.086,0.025,41.496,55.284
ibm14,1.659,5.701,0.080,0.021,57.464,0.051,41.935,106.910
ibm15,1.251,3.888,0.030,0.016,9.130,0.096,41.733,56.145
ibm16,1.780,3.966,0.043,0.022,34.643,0.118,42.906,83.476
ibm17,2.225,11.866,0.125,0.029,40.422,0.066,44.808,99.541
ibm18,1.286,3.151,0.016,0.018,5.041,0.092,40.804,50.409
