benchmark,surrogate_proxy,real_proxy,real_wl,real_den,real_cong
ibm01,0.745724,1.194177,0.073057,0.939982,1.302258
ibm01,0.745795,1.194103,0.073087,0.940114,1.301919
ibm01,0.745847,1.194180,0.073081,0.940217,1.301980
ibm02,1.139814,1.640844,0.076932,0.812198,2.315625
ibm02,1.141390,1.633833,0.077048,0.815396,2.298173
ibm02,1.141608,1.624307,0.077303,0.809671,2.284338
ibm03,0.850810,1.407360,0.081214,0.827362,1.824930
ibm03,0.850884,1.404051,0.080837,0.826113,1.820317
ibm04,0.793004,1.372550,0.072695,0.847412,1.752298
ibm06,0.971654,1.700306,0.063732,0.786067,2.487083
ibm06,0.972759,1.702259,0.063735,0.788678,2.488371
ibm07,0.968862,1.488687,0.065657,0.842026,2.004034
ibm07,0.969051,1.488960,0.065644,0.842421,2.004211
ibm07,0.969102,1.488986,0.065648,0.842465,2.004211
ibm08,0.901213,1.508256,0.070199,0.866987,2.009127
ibm08,0.901488,1.506092,0.070288,0.869693,2.001915
ibm08,0.901602,1.508350,0.070202,0.867755,2.008541
ibm09,0.824757,1.128900,0.057855,0.865010,1.277080
ibm09,0.825415,1.132731,0.057850,0.866334,1.283429
ibm11,0.844441,1.232362,0.054426,0.893530,1.462343
ibm11,0.848361,1.233172,0.054407,0.901299,1.456232
ibm11,0.848505,1.235069,0.054479,0.901527,1.459654
ibm12,1.009697,1.648446,0.060034,0.804044,2.372780
ibm12,1.010259,1.649071,0.060086,0.805188,2.372780
ibm13,0.828719,1.398098,0.054196,0.910245,1.777558
ibm13,0.828767,1.397954,0.054192,0.910333,1.777191
ibm13,0.828900,1.398079,0.054192,0.910606,1.777166
ibm14,1.001823,1.594815,0.052351,0.974171,2.110756
ibm14,1.001865,1.601037,0.052342,0.978256,2.119132
ibm14,1.002099,1.601877,0.052347,0.978352,2.120708
ibm15,0.906121,1.608169,0.058893,0.937829,2.160723
ibm15,0.907185,1.606018,0.058606,0.937534,2.157291
ibm15,0.907458,1.606855,0.058647,0.938077,2.158338
ibm17,1.062315,1.743016,0.054128,0.951606,2.426172
ibm17,1.062329,1.742241,0.054122,0.950067,2.426172
ibm17,1.062816,1.742935,0.054122,0.951045,2.426581
ibm18,1.138715,1.792078,0.053401,1.039472,2.437881
